ICD9_Code,Description,Syndrome,IBI_simple,IBI_extensive,Respiratory,Skin,bacterial_syndrome
510,Empyema,LRTI/empyema,no,yes,yes,no,yes
510.0,Empyema with fistula,LRTI/empyema,no,yes,yes,no,yes
510.9,Empyema without mention of fistula,LRTI/empyema,no,yes,yes,no,yes
035,Erysipelas,Skin infections,no,no,no,yes,yes
376.01,Orbital cellulitis,Skin infections,no,no,no,yes,yes
457.2,Lymphangitis,Skin infections,no,no,no,yes,yes
681,Cellulitis and abscess of finger and toe,Skin infections,no,no,no,yes,yes
681.0,Cellulitis and abscess of finger,Skin infections,no,no,no,yes,yes
681.00,"Cellulitis and abscess of finger, unspecified",Skin infections,no,no,no,yes,yes
681.01,Felon,Skin infections,no,no,no,yes,yes
681.02,Onychia and paronychia of finger,Skin infections,no,no,no,yes,yes
681.1,Cellulitis and abscess of toe,Skin infections,no,no,no,yes,yes
681.10,"Cellulitis and abscess of toe, unspecified",Skin infections,no,no,no,yes,yes
681.11,Onychia and paronychia of toe,Skin infections,no,no,no,yes,yes
681.9,Cellulitis and abscess of unspecified digit,Skin infections,no,no,no,yes,yes
682,Other cellulitis and abscess,Skin infections,no,no,no,yes,yes
682.0,Cellulitis and abscess of face,Skin infections,no,no,no,yes,yes
682.1,Cellulitis and abscess of neck,Skin infections,no,no,no,yes,yes
682.2,Cellulitis and abscess of trunk,Skin infections,no,no,no,yes,yes
682.3,Cellulitis and abscess of upper arm and forearm,Skin infections,no,no,no,yes,yes
682.4,"Cellulitis and abscess of hand, except fingers and thumb",Skin infections,no,no,no,yes,yes
682.5,Cellulitis and abscess of buttock,Skin infections,no,no,no,yes,yes
682.6,"Cellulitis and abscess of leg, except foot",Skin infections,no,no,no,yes,yes
682.7,"Cellulitis and abscess of foot, except toes",Skin infections,no,no,no,yes,yes
682.8,Cellulitis and abscess of other specified sites,Skin infections,no,no,no,yes,yes
682.9,Cellulitis and abscess of unspecified sites,Skin infections,no,no,no,yes,yes
684,Impetigo,Skin infections,no,no,no,yes,yes
040.0,Gas gangrene,Necrotizing soft tissue infection,no,no,no,yes,yes
728.86,Necrotizing fasciitis,Necrotizing soft tissue infection,no,no,no,yes,yes
095.2,Syphilitic peritonitis,Appendicitis/peritonitis,no,no,no,no,yes
098.86,Gonococcal peritonitis,Appendicitis/peritonitis,no,no,no,no,yes
540,Acute appendicitis,Appendicitis/peritonitis,no,no,no,no,yes
540.0,Acute appendicitis with generalized peritonitis,Appendicitis/peritonitis,no,no,no,no,yes
540.1,Acute appendicitis with peritoneal abscess,Appendicitis/peritonitis,no,no,no,no,yes
540.9,Acute appendicitis without mention of peritonitis,Appendicitis/peritonitis,no,no,no,no,yes
541,"Appendicitis, unqualified",Appendicitis/peritonitis,no,no,no,no,yes
542,Other appendicitis,Appendicitis/peritonitis,no,no,no,no,yes
